"
Proyecto de Ley
","
Fecha de Presentación
","
Título
","
Estado
","
Proponente
","
Autores
"
"
       
        
        
        
       
03802/2022-CR
","
16/12/2022
","
LEY QUE CREA OFICINA DE ENLACE DEL ORGANISMO DE FORMALIZACIÓN DE LA PROPIEDAD INFORMAL — COFOPRI, EN EL DISTRITO DE BAGUA GRANDE, PROVINCIA DE UTCUBAMBA DEL DEPARTAMENTO DE AMAZONAS
","
Presentado
","
Congreso
","
 Montalvo Cubas, Segundo Toribio; Portalatino Ávalos, Kelly Roxana; Flores Ramírez, Alex Randu; Cerrón Rojas, Waldemar José; Quito Sarmiento, Bernardo Jaime; Palacios Huamán, Margot; Cruz Mamani, Flavio
"
"
       
        
        
        
       
03801/2022-CR
","
16/12/2022
","
LEY QUE MODIFICA EL ARTÍCULO 9 DE LA LEY N° 30453, LEY DEL SISTEMA NACIONAL DE RESIDENTADO MÉDICO - SINAREME, A FIN DE INCORPORAR UNA NUEVA FUNCIÓN AL CONSEJO NACIONAL DE RESIDENTADO MÉDICO — CONAREME
","
Presentado
","
Congreso
","
 Montalvo Cubas, Segundo Toribio; Portalatino Ávalos, Kelly Roxana; Flores Ramírez, Alex Randu; Cerrón Rojas, Waldemar José; Quito Sarmiento, Bernardo Jaime; Palacios Huamán, Margot; Cruz Mamani, Flavio
"
"
       
        
        
        
       
03800/2022-CR
","
16/12/2022
","
LEY QUE PRIORIZA Y PROMUEVE EL USO DE LA ENERGÍA SOLAR PARA DOTAR DE ENERGÍA ELÉCTRICA ALTERNATIVA A LAS UNIVERSIDADES NACIONALES UBICADAS EN LA SELVA DEL PERÚ, PARA GENERACIÓN Y USO DE ENERGÍA ELÉCTRICA LIMPIA
","
Presentado
","
Congreso
","
 Montalvo Cubas, Segundo Toribio; Portalatino Ávalos, Kelly Roxana; Flores Ramírez, Alex Randu; Cerrón Rojas, Waldemar José; Quito Sarmiento, Bernardo Jaime; Palacios Huamán, Margot; Cruz Mamani, Flavio
"
"
       
        
        
        
       
03799/2022-CR
","
16/12/2022
","
LEY QUE ESTABLECE QUE EN LOS CONTRATOS DE TERCERIZACIÓN LABORAL CELEBRADOS ENTRE EL ESTADO Y EMPRESAS PRIVADAS, EL PAGO A ESTAS ÚLTIMAS POR LA PRESTACIÓN DEL SERVICIO CONTRATADO, SE REALICE PREVIA VALIDACIÓN POR EL ESTADO, DEL PAGO EFECTIVO DE LAS REMUNERACIONES A LOS TRABAJADORES DE LA EMPRESA TERCERIZADORA
","
Presentado
","
Congreso
","
 Montalvo Cubas, Segundo Toribio; Portalatino Ávalos, Kelly Roxana; Flores Ramírez, Alex Randu; Cerrón Rojas, Waldemar José; Palacios Huamán, Margot; Cruz Mamani, Flavio
"
"
       
        
        
        
       
03798/2022-CR
","
16/12/2022
","
LEY QUE PRORROGA EL PLAZO DE APLICACIÓN DE LA PRIMERA DISPOSICIÓN FINAL DE LA LEY N° 27889, LEY QUE CREA EL FONDO Y EL IMPUESTO EXTRAORDINARIO PARA LA PROMOCIÓN Y DESARROLLO TURÍSTICO NACIONAL
","
Presentado
","
Congreso
","
 Ugarte Mamani, Jhakeline Katy; Quiroz Barboza, Segundo Teodomiro; Gutiérrez Ticona, Paul Silvio; Paredes Gonzales, Alex Antonio; Vásquez Vela, Lucinda; Tacuri Valdivia, Germán Adolfo
"
"
       
        
        
        
       
03797/2022-CR
","
16/12/2022
","
LEY QUE FORTALECE A LAS JUNTAS ADMINISTRADORAS DE SERVICIOS DE SANEAMIENTO Y PROMUEVE LA PARTICIPACIÓN DE LA MUJER
","
Presentado
","
Congreso
","
 López Ureña, Ilich Fredy; Vergara Mendoza, Elvis Hernán; Montalvo Cubas, Segundo Toribio; Espinoza Vargas, Jhaec Darwin; Soto Palacios, Wilson; Aragón Carreño, Luis Ángel
"
"
       
        
        
        
       
03796/2022-CR
","
16/12/2022
","
LEY QUE ESTABLECE BENEFICIOS PARA LA FORMALIZACIÓN Y FUNCIONAMIENTO DE INMUEBLES DESTINADOS A LA PRESTACIÓN DE SERVICIOS EDUCATIVOS EN EL SECTOR PÚBLICO
","
Presentado
","
Congreso
","
 Rivas Chacara, Janet Milagros; Medina Hermosilla, Elizabeth Sara; Montalvo Cubas, Segundo Toribio; Quito Sarmiento, Bernardo Jaime; Palacios Huamán, Margot; Cerrón Rojas, Waldemar José; Gonza Castillo, Américo; Bellido Ugarte, Guido
"
"
       
        
        
        
       
03795/2022-CR
","
16/12/2022
","
LEY QUE OTORGA EL GRADO INMEDIATO SUPERIOR AL PERSONAL EGRESADO DE LA ESCUELA DE ENFERMERIA DEL CENTRO DE FORMACION PROFESIONAL DE LA SANIDAD DE LA POLICIA DEL PERU, EN SITÚACION DE ACTIVIDAD DE LAS PROMOCIONES 1995, 1996 Y 1998
","
Presentado
","
Congreso
","
 Paredes Gonzales, Alex Antonio; Medina Hermosilla, Elizabeth Sara; Tello Montes, Nivardo Edgar; Quiroz Barboza, Segundo Teodomiro; Gutiérrez Ticona, Paul Silvio; Vásquez Vela, Lucinda
"
"
       
        
        
        
       
03794/2022-CR
","
16/12/2022
","
LEY QUE MODIFICA LA LEY N° 31253, LEY QUE REGULA EL DEPÓSITO LEGAL DE LA BIBLIOTECA NACIONAL DEL PERÚ COMO INSTRUMENTO PARA PRESERVAR Y DIFUNDIR EL PATRIMONIO BIBLIOGRÁFICO, SONORO, VISUAL, AUDIOVISUAL Y DIGITAL NACIONAL
","
Presentado
","
Congreso
","
 Amuruz Dulanto, Yessica Rosselli; Córdova Lobatón, María Jessica; Tudela Gutiérrez, Adriana Josefina; Bazán Narro, Sigrid Tesoro; Gonzales Delgado, Diana Carolina; Chirinos Venegas, Patricia Rosa
"
"
       
        
        
        
       
03793/2022-CR
","
16/12/2022
","
LEY DE REFORMA CONSTITUCIONAL QUE MODIFICA LOS ARTÍCULOS 137 Y 165 DE LA CONSTITUCIÓN, Y PERMITE A LAS FUERZAS ARMADAS PRESTAR APOYO A LA POLICÍA NACIONAL DEL PERÚ PARA GARANTIZAR
LA SEGURIDAD CIUDADANA
","
Presentado
","
Congreso
","
 Camones Soriano, Lady Mercedes; García Correa, Idelso Manuel; Soto Reyes, Alejandro; Ruíz Rodríguez, Magaly Rosmery; Trigozo Reátegui, Cheryl; Torres Salinas, Rosio
"
